Bug ID,Topic,Era
357,13,High
358,10,High
359,12,High
360,1,High
361,13,High
362,13,High
363,10,High
364,12,High
365,11,High
366,13,High
367,13,High
368,7,High
369,12,High
370,13,High
371,4,High
372,0,High
373,2,High
374,0,High
375,6,High
376,0,High
377,3,High
378,3,High
379,10,High
380,3,High
381,14,High
382,2,High
383,14,High
384,8,High
385,3,High
386,0,High
387,4,High
388,8,High
389,1,High
390,2,High
391,1,High
392,10,High
393,1,High
394,0,High
395,6,High
396,4,High
397,8,High
398,14,High
399,12,High
400,8,High
401,9,High
402,12,High
403,6,High
404,9,High
405,3,High
406,9,High
407,3,High
408,2,High
409,11,High
410,8,High
411,5,High
412,0,High
413,3,High
414,12,High
415,7,High
416,14,High
417,13,High
418,12,High
419,0,High
420,0,High
421,8,High
422,5,High
423,12,High
424,4,High
425,2,High
426,1,High
427,4,High
428,9,High
429,1,High
430,11,High
431,4,High
432,4,High
433,9,High
434,12,High
435,6,High
436,11,High
437,4,High
438,1,High
439,12,High
440,11,High
441,11,High
442,13,High
443,7,High
444,2,High
445,8,High
446,8,High
447,5,High
448,9,High
449,3,High
450,9,High
451,11,High
452,1,High
453,6,High
454,9,High
455,0,High
456,9,High
457,13,High
458,12,High
459,10,High
460,12,High
461,5,High
462,4,High
463,1,High
464,10,High
465,4,High
466,13,High
467,6,High
468,13,High
469,2,High
470,2,High
471,5,High
472,0,High
473,7,High
474,9,High
475,9,High
476,3,High
477,2,High
478,8,High
479,9,High
480,14,High
481,13,High
482,5,High
483,2,High
484,3,High
485,13,High
486,6,High
487,14,High
488,9,High
489,8,High
490,1,High
491,8,High
492,5,High
493,12,High
494,2,High
495,2,High
496,9,High
497,10,High
498,12,High
499,7,High
500,5,High
501,4,High
502,5,High
503,9,High
504,8,High
505,4,High
506,3,High
507,10,High
508,3,High
509,3,High
510,4,High
511,12,High
512,6,High
513,8,High
514,1,High
515,5,High
516,11,High
517,11,High
518,8,High
519,13,High
520,4,High
521,2,High
522,1,High
523,2,High
524,11,High
525,13,High
526,1,High
527,7,High
528,1,High
529,12,High
530,1,High
531,9,High
532,1,High
533,11,High
534,13,High
535,10,High
536,4,High
537,12,High
538,4,High
539,11,High
540,12,High
541,7,High
542,9,High
543,12,High
544,2,High
545,0,High
546,6,High
547,2,High
548,13,High
549,13,High
550,5,High
551,4,High
552,10,High
553,6,High
554,1,High
555,9,High
556,10,High
557,1,High
558,11,High
559,8,High
560,12,High
561,12,High
562,10,High
563,5,High
564,5,High
565,10,High
566,0,High
567,3,High
568,7,High
569,14,High
570,11,High
571,12,High
572,2,High
573,4,High
574,3,High
575,11,High
576,8,High
577,3,High
578,11,High
579,9,High
580,13,High
581,8,High
582,1,High
583,13,High
584,2,High
585,0,High
586,11,High
587,6,High
588,9,High
589,1,High
590,10,High
591,6,High
592,14,High
593,9,High
594,14,High
595,11,High
596,12,High
597,1,High
598,11,High
599,9,High
600,5,High
601,4,High
602,9,High
603,2,High
604,2,High
605,13,High
606,11,High
607,8,High
608,11,High
609,4,High
610,10,High
611,3,High
612,6,High
613,2,High
614,5,High
615,5,High
616,6,High
617,7,High
618,0,High
619,5,High
620,12,High
621,6,High
622,8,High
623,1,High
624,5,High
625,14,High
626,8,High
627,0,High
628,10,High
629,11,High
630,5,High
631,0,High
632,12,High
633,3,High
634,13,High
635,5,High
636,5,High
637,11,High
638,2,High
639,0,High
640,11,High
641,13,High
642,14,High
643,1,High
644,2,High
645,5,High
646,10,High
647,13,High
648,12,High
649,5,High
650,13,High
651,3,High
652,1,High
653,6,High
654,1,High
655,10,High
656,14,High
657,1,High
658,1,High
659,2,High
660,2,High
661,8,High
662,8,High
663,14,High
664,6,High
665,13,High
666,11,High
667,12,High
668,2,High
669,6,High
670,13,High
671,11,High
672,3,High
673,12,High
674,11,High
675,2,High
676,1,High
677,3,High
678,7,High
679,2,High
680,0,High
681,1,High
682,4,High
683,5,High
684,4,High
685,6,High
686,10,High
687,3,High
688,6,High
689,10,High
690,0,High
691,14,High
692,14,High
693,4,High
694,13,High
695,3,High
696,13,High
697,9,High
698,3,High
699,0,High
700,5,High
701,11,High
702,3,High
703,7,High
704,1,High
705,6,High
706,0,High
707,14,High
708,7,High
709,12,High
710,1,High
711,2,High
712,2,High
713,8,High
714,12,High
715,9,High
716,7,High
717,14,High
718,2,High
719,2,High
720,10,High
721,12,High
722,3,High
723,3,High
724,7,High
725,11,High
726,4,High
727,12,High
728,7,High
729,10,High
730,9,High
731,7,High
732,8,High
733,14,High
734,5,High
735,14,High
736,11,High
737,2,High
738,13,High
739,5,High
740,2,High
741,3,High
742,2,High
743,5,High
744,1,High
745,8,High
746,14,High
747,14,High
748,14,High
749,3,High
750,3,High
751,10,High
752,14,High
753,12,High
754,3,High
755,11,High
756,7,High
757,6,High
758,7,High
759,8,High
760,13,High
761,11,High
762,0,High
763,11,High
764,4,High
765,5,High
766,8,High
767,14,High
768,0,High
769,7,High
770,3,High
771,13,High
772,6,High
773,12,High
774,13,High
775,1,High
776,11,High
777,11,High
778,12,High
779,14,High
780,11,High
781,12,High
782,10,High
783,4,High
784,12,High
785,10,High
786,10,High
787,14,High
788,11,High
789,5,High
790,4,High
791,4,High
792,2,High
793,1,High
794,11,High
795,11,High
796,2,High
797,5,High
798,13,High
799,12,High
800,8,High
801,14,High
802,4,High
803,12,High
804,14,High
805,8,High
806,2,High
807,4,High
808,7,High
809,4,High
810,1,High
811,2,High
812,14,High
813,5,High
814,8,High
815,6,High
816,12,High
817,1,High
818,4,High
819,8,High
820,12,High
821,6,High
822,10,High
823,12,High
824,9,High
825,12,High
826,14,High
827,3,High
828,6,High
829,3,High
830,6,High
831,0,High
832,10,High
833,3,High
834,12,High
835,10,High
836,5,High
837,6,High
838,10,High
839,6,High
840,3,High
841,0,High
842,8,High
843,7,High
844,11,High
845,1,High
846,0,High
847,11,High
848,10,High
849,11,High
850,0,High
851,9,High
852,14,High
853,11,High
854,7,High
855,7,High
856,6,High
857,0,High
858,10,High
859,8,High
860,7,High
861,13,High
862,10,High
863,14,High
864,1,High
865,14,High
866,8,High
867,6,High
868,8,High
869,0,High
870,13,High
871,9,High
872,0,High
873,13,High
874,6,High
875,1,High
876,9,High
877,1,High
878,8,High
879,11,High
880,1,High
881,11,High
882,8,High
883,4,High
884,3,High
885,0,High
886,2,High
887,4,High
888,13,High
889,7,High
890,2,High
891,11,High
892,6,High
893,12,High
894,11,High
895,13,High
896,10,High
897,1,High
898,8,High
899,6,High
900,12,High
901,2,High
902,6,High
903,12,High
904,9,High
905,0,High
906,12,High
907,5,High
908,10,High
909,9,High
910,9,High
911,6,High
912,6,High
913,1,High
914,8,High
915,4,High
916,5,High
917,2,High
918,11,High
919,13,High
920,5,High
921,6,High
922,6,High
923,1,High
924,11,High
925,13,High
926,7,High
927,0,High
928,5,High
929,2,High
930,12,High
931,12,High
932,5,High
933,5,High
934,12,High
935,1,High
936,11,High
937,14,High
938,6,High
939,11,High
940,10,High
941,13,High
942,0,High
943,10,High
944,5,High
945,12,High
946,12,High
947,4,High
948,8,High
949,7,High
950,8,High
951,12,High
952,9,High
953,11,High
954,10,High
955,3,High
956,8,High
957,5,High
958,6,High
959,1,High
960,2,High
961,5,High
962,4,High
963,9,High
964,4,High
965,3,High
966,6,High
967,8,High
968,14,High
969,7,High
970,5,High
971,4,High
972,6,High
973,13,High
974,5,High
975,3,High
976,8,High
977,11,High
978,14,High
979,4,High
980,13,High
981,12,High
982,5,High
983,5,High
984,4,High
985,4,High
986,13,High
987,4,High
988,7,High
989,14,High
990,10,High
991,1,High
992,1,High
993,3,High
994,12,High
995,3,High
996,4,High
997,8,High
998,7,High
999,1,High
1000,2,High
1001,14,High
1002,6,High
1003,4,High
1004,12,High
1005,6,High
1006,12,High
1007,2,High
1008,7,High
1009,12,High
1010,11,High
1011,10,High
1012,6,High
1013,12,High
1014,5,High
1015,9,High
1016,8,High
1017,4,High
1018,3,High
1019,7,High
1020,4,High
1021,7,High
1022,10,High
1023,12,High
1024,11,High
1025,7,High
1026,0,High
1027,2,High
1028,10,High
1029,8,High
1030,12,High
1031,7,High
1032,6,High
1033,3,High
1034,0,High
1035,2,High
1036,10,High
1037,8,High
1038,3,High
1039,5,High
1040,9,High
1041,5,High
1042,5,High
1043,4,High
1044,9,High
1045,13,High
1046,3,High
1047,4,High
1048,7,High
1049,2,High
1050,7,High
1051,13,High
1052,9,High
1053,2,High
1054,3,High
1055,1,High
1056,14,High
1057,5,High
1058,4,High
1059,12,High
1060,4,High
1061,3,High
1062,3,High
1063,5,High
1064,1,High
1065,9,High
1066,6,High
1067,14,High
1068,11,High
1069,5,High
1070,10,High
1071,12,High
1072,2,High
1073,2,High
1074,2,High
1075,0,High
1076,4,High
1077,11,High
1078,11,High
1079,5,High
1080,7,High
1081,11,High
1082,13,High
1083,4,High
1084,9,High
1085,8,High
1086,9,High
1087,12,High
1088,11,High
1089,5,High
1090,11,High
1091,0,High
1092,5,High
1093,3,High
1094,3,High
1095,13,High
1096,6,High
1097,1,High
1098,7,High
1099,1,High
1100,2,High
1101,5,High
1102,6,High
1103,3,High
1104,9,High
1105,7,High
1106,2,High
1107,12,High
1108,2,High
1109,5,High
1110,2,High
1111,14,High
1112,4,High
1113,13,High
1114,14,High
1115,3,High
1116,0,High
1117,0,High
1118,2,High
1119,6,High
1120,2,High
1121,14,High
1122,7,High
1123,12,High
1124,0,High
1125,1,High
1126,6,High
1127,2,High
1128,2,High
1129,0,High
1130,4,High
1131,11,High
1132,11,High
1133,7,High
1134,2,High
1135,6,High
1136,9,High
1137,2,High
1138,6,High
1139,12,High
1140,6,High
1141,7,High
1142,12,High
1143,10,High
1144,2,High
1145,9,High
1146,13,High
1147,3,High
1148,13,High
1149,8,High
1150,10,High
1151,4,High
1152,0,High
1153,0,High
1154,9,High
1155,14,High
1156,9,High
1157,5,High
1158,11,High
1159,14,High
1160,3,High
1161,1,High
1162,14,High
1163,0,High
1164,13,High
1165,2,High
1166,1,High
1167,4,High
1168,4,High
1169,4,High
1170,0,High
1171,12,High
1172,12,High
1173,10,High
1174,13,High
1175,14,High
1176,14,High
1177,5,High
1178,9,High
1179,11,High
1180,9,High
1181,11,High
1182,10,High
1183,5,High
1184,8,High
1185,2,High
1186,14,High
1187,13,High
1188,9,High
1189,11,High
1190,5,High
1191,5,High
1192,7,High
1193,3,High
1194,0,High
1195,5,High
1196,10,High
1197,3,High
1198,10,High
1199,8,High
1200,6,High
10000,10,Low
10001,12,Low
10002,14,Low
10003,11,Low
10004,1,Low
10005,5,Low
10006,7,Low
10007,1,Low
10008,6,Low
10009,1,Low
10010,8,Low
10011,2,Low
10012,4,Low
10013,4,Low
10014,14,Low
10015,6,Low
10016,8,Low
10017,13,Low
10018,0,Low
10019,4,Low
10020,6,Low
10021,13,Low
10022,10,Low
10023,10,Low
10024,5,Low
10025,12,Low
10026,2,Low
10027,6,Low
10028,5,Low
10029,0,Low
10030,1,Low
10031,11,Low
10032,14,Low
10033,3,Low
10034,1,Low
10035,2,Low
10036,0,Low
10037,11,Low
10038,0,Low
10039,10,Low
10040,11,Low
10041,3,Low
10042,3,Low
10043,4,Low
10044,11,Low
10045,14,Low
10046,11,Low
10047,4,Low
10048,10,Low
10049,10,Low
10050,6,Low
10051,1,Low
10052,4,Low
10053,12,Low
10054,7,Low
10055,1,Low
10056,13,Low
10057,7,Low
10058,5,Low
10059,0,Low
10060,8,Low
10061,8,Low
10062,2,Low
10063,12,Low
10064,7,Low
10065,1,Low
10066,2,Low
10067,4,Low
10068,11,Low
10069,11,Low
10070,12,Low
10071,9,Low
10072,13,Low
10073,4,Low
10074,8,Low
10075,9,Low
10076,5,Low
10077,6,Low
10078,10,Low
10079,12,Low
10080,13,Low
10081,4,Low
10082,10,Low
10083,11,Low
10084,14,Low
10085,9,Low
10086,3,Low
10087,11,Low
10088,2,Low
10089,5,Low
10090,7,Low
10091,10,Low
10092,2,Low
10093,10,Low
10094,2,Low
10095,5,Low
10096,1,Low
10097,0,Low
10098,4,Low
10099,14,Low
10100,8,Low
10101,10,Low
10102,3,Low
10103,3,Low
10104,13,Low
10105,10,Low
10106,7,Low
10107,4,Low
10108,12,Low
10109,7,Low
10110,0,Low
10111,12,Low
10112,6,Low
10113,6,Low
10114,5,Low
10115,4,Low
10116,9,Low
10117,4,Low
10118,7,Low
10119,1,Low
10120,12,Low
10121,3,Low
10122,9,Low
10123,4,Low
10124,2,Low
10125,2,Low
10126,10,Low
10127,0,Low
10128,11,Low
10129,6,Low
10130,6,Low
10131,3,Low
10132,5,Low
10133,11,Low
10134,13,Low
10135,13,Low
10136,9,Low
10137,4,Low
10138,1,Low
10139,8,Low
10140,8,Low
10141,7,Low
10142,7,Low
10143,1,Low
10144,5,Low
10145,1,Low
10146,12,Low
10147,13,Low
10148,12,Low
10149,7,Low
10150,12,Low
10151,12,Low
10152,5,Low
10153,0,Low
10154,12,Low
10155,8,Low
10156,6,Low
10157,12,Low
10158,14,Low
10159,13,Low
10160,0,Low
10161,0,Low
10162,7,Low
10163,7,Low
10164,3,Low
10165,5,Low
10166,8,Low
10167,11,Low
10168,11,Low
10169,1,Low
10170,5,Low
10171,3,Low
10172,4,Low
10173,12,Low
10174,6,Low
10175,7,Low
10176,14,Low
10177,6,Low
10178,11,Low
10179,14,Low
10180,14,Low
10181,4,Low
10182,6,Low
10183,0,Low
10184,11,Low
10185,5,Low
10186,0,Low
10187,2,Low
10188,2,Low
10189,1,Low
10190,1,Low
10191,8,Low
10192,3,Low
10193,14,Low
10194,8,Low
10195,8,Low
10196,7,Low
10197,9,Low
10198,11,Low
10199,4,Low
10200,9,Low
10201,8,Low
10202,10,Low
10203,11,Low
10204,11,Low
10205,8,Low
10206,1,Low
10207,12,Low
10208,14,Low
10209,8,Low
10210,6,Low
10211,2,Low
10212,6,Low
10213,8,Low
10214,11,Low
10215,7,Low
10216,2,Low
10217,2,Low
10218,8,Low
10219,9,Low
10220,13,Low
10221,12,Low
10222,8,Low
10223,2,Low
10224,12,Low
10225,8,Low
10226,12,Low
10227,11,Low
10228,4,Low
10229,6,Low
10230,6,Low
10231,4,Low
10232,11,Low
10233,5,Low
10234,10,Low
10235,8,Low
10236,6,Low
10237,10,Low
10238,2,Low
10239,8,Low
10240,2,Low
10241,1,Low
10242,12,Low
10243,12,Low
10244,10,Low
10245,13,Low
10246,9,Low
10247,1,Low
10248,5,Low
10249,3,Low
10250,10,Low
10251,2,Low
10252,9,Low
10253,12,Low
10254,2,Low
10255,13,Low
10256,10,Low
10257,0,Low
10258,8,Low
10259,4,Low
10260,10,Low
10261,2,Low
10262,7,Low
10263,7,Low
10264,7,Low
10265,13,Low
10266,14,Low
10267,1,Low
10268,11,Low
10269,2,Low
10270,2,Low
10271,7,Low
10272,14,Low
10273,7,Low
10274,8,Low
10275,11,Low
10276,7,Low
10277,6,Low
10278,10,Low
10279,2,Low
10280,13,Low
10281,5,Low
10282,8,Low
10283,14,Low
10284,11,Low
10285,11,Low
10286,12,Low
10287,1,Low
10288,6,Low
10289,12,Low
10290,3,Low
10291,4,Low
10292,13,Low
10293,11,Low
10294,3,Low
10295,0,Low
10296,7,Low
10297,13,Low
10298,8,Low
10299,2,Low
10300,7,Low
10301,6,Low
10302,9,Low
10303,9,Low
10304,3,Low
10305,7,Low
10306,7,Low
10307,2,Low
10308,7,Low
10309,2,Low
10310,2,Low
10311,4,Low
10312,14,Low
10313,0,Low
10314,12,Low
10315,3,Low
10316,14,Low
10317,1,Low
10318,9,Low
10319,6,Low
10320,3,Low
10321,5,Low
10322,6,Low
10323,8,Low
10324,11,Low
10325,4,Low
10326,5,Low
10327,0,Low
10328,3,Low
10329,4,Low
10330,12,Low
10331,11,Low
10332,11,Low
10333,3,Low
10334,3,Low
10335,6,Low
10336,6,Low
10337,11,Low
10338,12,Low
10339,6,Low
10340,3,Low
10341,13,Low
10342,8,Low
10343,13,Low
10344,5,Low
10345,4,Low
10346,0,Low
10347,11,Low
10348,7,Low
10349,3,Low
10350,6,Low
10351,2,Low
10352,14,Low
10353,6,Low
10354,4,Low
10355,9,Low
10356,11,Low
10357,14,Low
10358,10,Low
10359,2,Low
10360,6,Low
10361,10,Low
10362,12,Low
10363,7,Low
10364,12,Low
10365,1,Low
10366,5,Low
10367,14,Low
10368,2,Low
10369,10,Low
10370,3,Low
10371,1,Low
10372,2,Low
10373,13,Low
10374,14,Low
10375,1,Low
10376,10,Low
10377,1,Low
10378,12,Low
10379,4,Low
10380,0,Low
10381,14,Low
10382,13,Low
10383,0,Low
10384,5,Low
10385,13,Low
10386,5,Low
10387,9,Low
10388,13,Low
10389,1,Low
10390,7,Low
10391,8,Low
10392,13,Low
10393,6,Low
10394,12,Low
10395,8,Low
10396,6,Low
10397,11,Low
10398,12,Low
10399,10,Low
10400,9,Low
10401,14,Low
10402,9,Low
10403,2,Low
10404,13,Low
10405,12,Low
10406,5,Low
10407,6,Low
10408,9,Low
10409,11,Low
10410,10,Low
10411,13,Low
10412,1,Low
10413,14,Low
10414,7,Low
10415,3,Low
10416,3,Low
10417,6,Low
10418,4,Low
10419,14,Low
10420,7,Low
10421,14,Low
10422,10,Low
10423,5,Low
10424,6,Low
10425,14,Low
10426,9,Low
10427,6,Low
10428,11,Low
10429,5,Low
10430,3,Low
10431,11,Low
10432,1,Low
10433,7,Low
10434,6,Low
10435,6,Low
10436,3,Low
10437,5,Low
10438,1,Low
10439,6,Low
10440,11,Low
10441,2,Low
10442,2,Low
10443,0,Low
10444,12,Low
10445,11,Low
10446,0,Low
10447,8,Low
10448,7,Low
10449,10,Low
10450,5,Low
10451,12,Low
10452,7,Low
10453,3,Low
10454,7,Low
10455,3,Low
10456,7,Low
10457,4,Low
10458,6,Low
10459,4,Low
10460,7,Low
10461,11,Low
10462,10,Low
10463,5,Low
10464,7,Low
10465,4,Low
10466,4,Low
10467,9,Low
10468,11,Low
10469,2,Low
10470,3,Low
10471,1,Low
10472,14,Low
10473,10,Low
10474,2,Low
10475,11,Low
10476,4,Low
10477,4,Low
10478,7,Low
10479,9,Low
10480,9,Low
10481,0,Low
10482,11,Low
10483,6,Low
10484,13,Low
10485,8,Low
10486,14,Low
10487,3,Low
10488,9,Low
10489,5,Low
10490,12,Low
10491,9,Low
10492,11,Low
10493,8,Low
10494,11,Low
10495,2,Low
10496,3,Low
10497,10,Low
10498,2,Low
10499,1,Low
10500,8,Low
10501,14,Low
10502,4,Low
10503,3,Low
10504,10,Low
10505,3,Low
10506,11,Low
10507,3,Low
10508,2,Low
10509,14,Low
10510,8,Low
10511,4,Low
10512,6,Low
10513,9,Low
10514,0,Low
10515,14,Low
10516,7,Low
10517,14,Low
10518,11,Low
10519,0,Low
10520,12,Low
10521,7,Low
10522,13,Low
10523,9,Low
10524,4,Low
10525,10,Low
10526,4,Low
10527,5,Low
10528,8,Low
10529,4,Low
10530,14,Low
10531,0,Low
10532,5,Low
10533,0,Low
10534,10,Low
10535,8,Low
10536,2,Low
10537,1,Low
10538,11,Low
10539,3,Low
10540,12,Low
10541,4,Low
10542,8,Low
10543,1,Low
10544,7,Low
10545,0,Low
10546,3,Low
10547,13,Low
10548,14,Low
10549,6,Low
10550,13,Low
10551,3,Low
10552,8,Low
10553,10,Low
10554,13,Low
10555,0,Low
10556,8,Low
10557,3,Low
10558,5,Low
10559,14,Low
10560,9,Low
10561,13,Low
10562,2,Low
10563,9,Low
10564,13,Low
10565,1,Low
10566,13,Low
10567,4,Low
10568,6,Low
10569,0,Low
10570,12,Low
10571,3,Low
10572,14,Low
10573,0,Low
10574,1,Low
10575,1,Low
10576,10,Low
10577,9,Low
10578,3,Low
10579,1,Low
10580,3,Low
10581,2,Low
10582,10,Low
10583,13,Low
10584,6,Low
10585,5,Low
10586,7,Low
10587,4,Low
10588,2,Low
10589,1,Low
10590,9,Low
10591,11,Low
10592,7,Low
10593,10,Low
10594,1,Low
10595,8,Low
10596,10,Low
10597,9,Low
10598,0,Low
10599,1,Low
10600,14,Low
10601,3,Low
10602,3,Low
10603,8,Low
10604,10,Low
10605,14,Low
10606,11,Low
10607,12,Low
10608,13,Low
10609,9,Low
10610,9,Low
10611,7,Low
10612,3,Low
10613,0,Low
10614,1,Low
10615,13,Low
10616,4,Low
10617,1,Low
10618,2,Low
10619,1,Low
10620,5,Low
10621,10,Low
10622,12,Low
10623,12,Low
10624,14,Low
10625,11,Low
10626,3,Low
10627,6,Low
10628,9,Low
10629,2,Low
10630,19,Low
10631,15,Low
10632,16,Low
10633,20,Low
10634,17,Low
10635,21,Low
10636,20,Low
10637,16,Low
10638,21,Low
10639,21,Low
10640,21,Low
10641,17,Low
10642,21,Low
10643,17,Low
10644,17,Low
10645,18,Low
10646,17,Low
10647,15,Low
10648,20,Low
10649,18,Low
10650,20,Low
10651,16,Low
10652,16,Low
10653,19,Low
10654,19,Low
10655,18,Low
10656,19,Low
10657,21,Low
10658,21,Low
10659,21,Low
10660,21,Low
10661,17,Low
10662,20,Low
10663,16,Low
10664,21,Low
10665,21,Low
10666,18,Low
10667,18,Low
10668,15,Low
10669,15,Low
10670,16,Low
10671,15,Low
10672,17,Low
10673,21,Low
10674,19,Low
10675,19,Low
10676,20,Low
10677,15,Low
10678,19,Low
10679,18,Low
10680,15,Low
10681,18,Low
10682,19,Low
10683,18,Low
10684,21,Low
10685,21,Low
10686,17,Low
10687,21,Low
10688,16,Low
10689,15,Low
10690,19,Low
10691,16,Low
10692,17,Low
10693,17,Low
10694,19,Low
10695,20,Low
10696,21,Low
10697,19,Low
10698,21,Low
10699,20,Low
10700,21,Low
10701,19,Low
10702,15,Low
10703,16,Low
10704,17,Low
10705,20,Low
10706,17,Low
10707,15,Low
10708,18,Low
10709,19,Low
10710,21,Low
10711,16,Low
10712,17,Low
10713,18,Low
10714,18,Low
10715,21,Low
10716,17,Low
10717,18,Low
10718,16,Low
10719,15,Low
10720,17,Low
10721,18,Low
10722,16,Low
10723,19,Low
10724,17,Low
10725,15,Low
10726,18,Low
10727,16,Low
10728,20,Low
10729,15,Low
10730,20,Low
10731,18,Low
10732,20,Low
10733,17,Low
10734,21,Low
10735,18,Low
10736,21,Low
10737,17,Low
10738,20,Low
10739,19,Low
10740,21,Low
10741,16,Low
10742,18,Low
10743,21,Low
10744,16,Low
10745,21,Low
10746,21,Low
10747,18,Low
10748,20,Low
10749,18,Low
10750,19,Low
10751,21,Low
10752,20,Low
10753,17,Low
10754,19,Low
10755,20,Low
10756,19,Low
10757,17,Low
10758,20,Low
10759,20,Low
10760,19,Low
10761,17,Low
10762,18,Low
10763,19,Low
10764,16,Low
10765,21,Low
10766,19,Low
10767,15,Low
10768,16,Low
10769,20,Low
10770,19,Low
10771,18,Low
10772,18,Low
10773,17,Low
10774,21,Low
10775,17,Low
10776,20,Low
10777,15,Low
10778,18,Low
10779,16,Low
10780,17,Low
10781,19,Low
10782,15,Low
10783,15,Low
10784,19,Low
10785,19,Low
10786,15,Low
10787,21,Low
10788,18,Low
10789,21,Low
10790,15,Low
10791,21,Low
10792,19,Low
10793,20,Low
10794,20,Low
10795,16,Low
10796,16,Low
10797,21,Low
10798,18,Low
10799,16,Low
10800,19,Low
10801,21,Low
10802,16,Low
10803,21,Low
10804,15,Low
10805,19,Low
10806,17,Low
10807,18,Low
10808,19,Low
10809,16,Low
10810,15,Low
10811,18,Low
10812,21,Low
10813,17,Low
10814,18,Low
10815,15,Low
10816,17,Low
10817,15,Low
10818,15,Low
10819,20,Low
10820,21,Low
